Model Total accuracy: 0.4939516129032258



Metrics based on each class:
CLASS NAME                    |PRECISION |RECALL    |F1-SCORE  |SUPPORT   |ACCURACY  
RED ADMIRAL                   |0.7500    |0.2400    |0.3636    |25        |0.2400    
RED CRACKER                   |0.4000    |0.3448    |0.3704    |29        |0.3448    
RED POSTMAN                   |0.5909    |0.4815    |0.5306    |27        |0.4815    
RED SPOTTED PURPLE            |0.4412    |0.5769    |0.5000    |26        |0.5769    
SCARCE SWALLOW                |0.6818    |0.5000    |0.5769    |30        |0.5000    
SILVER SPOT SKIPPER           |0.8889    |0.3200    |0.4706    |25        |0.3200    
SLEEPY ORANGE                 |0.3929    |0.6667    |0.4944    |33        |0.6667    
SOOTYWING                     |0.3043    |0.2593    |0.2800    |27        |0.2593    
SOUTHERN DOGFACE              |0.4400    |0.8148    |0.5714    |27        |0.8148    
STRAITED QUEEN                |0.7500    |0.6667    |0.7059    |27        |0.6667    
TROPICAL LEAFWING             |0.3125    |0.4000    |0.3509    |25        |0.4000    
TWO BARRED FLASHER            |0.5714    |0.6957    |0.6275    |23        |0.6957    
ULYSES                        |0.5349    |0.8846    |0.6667    |26        |0.8846    
VICEROY                       |0.3585    |0.7600    |0.4872    |25        |0.7600    
WOOD SATYR                    |0.4706    |0.3636    |0.4103    |22        |0.3636    
YELLOW SWALLOW TAIL           |0.2500    |0.4348    |0.3175    |23        |0.4348    
ZEBRA LONG WING               |0.8462    |0.4783    |0.6111    |23        |0.4783    



Train time: 269.2843770980835
